Virus name	Genotype	Accession ID
hChikV/Sudan/PHE-a07329e4/2018	II-ECSA	EPI_ISL_17460486
hChikV/Sudan/PHE-a2f271f9/2018	II-ECSA	EPI_ISL_17460487
hChikV/Sudan/PHE-0d6c3207/2018	II-ECSA	EPI_ISL_17460488
hChikV/Sudan/PHE-77c2c964/2018	II-ECSA	EPI_ISL_17460489
hChikV/India/un-PHE-4a5fe7eb/2016	II-ECSA	EPI_ISL_17460490
hChikV/India/un-PHE-7698c1b0/2016	II-ECSA	EPI_ISL_17460491
hChikV/Sudan/PHE-63afe258/2018	II-ECSA	EPI_ISL_17460492
hChikV/India/un-PHE-ab8bffb4/2016	II-ECSA	EPI_ISL_17460493
hChikV/Sudan/PHE-c6e83219/2018	II-ECSA	EPI_ISL_17460494
hChikV/Sudan/PHE-e5cd9282/2018	II-ECSA	EPI_ISL_17460495
hChikV/Sudan/PHE-9321256e/2018	II-ECSA	EPI_ISL_17460496
hChikV/Sudan/PHE-5c867d7a/2018	II-ECSA	EPI_ISL_17460497
hChikV/Sudan/PHE-52d29ec4/2018	II-ECSA	EPI_ISL_17460498
hChikV/Sudan/PHE-f361ab93/2018	II-ECSA	EPI_ISL_17460499
hChikV/Sudan/PHE-a03d8cec/2018	II-ECSA	EPI_ISL_17460500
hChikV/Sudan/PHE-997a6257/2018	II-ECSA	EPI_ISL_17460501
hChikV/India/un-PHE-7c8c6ee6/2016	II-ECSA	EPI_ISL_17460502
hChikV/Sudan/PHE-582addb4/2018	II-ECSA	EPI_ISL_17460503
hChikV/Sudan/PHE-ad278596/2018	II-ECSA	EPI_ISL_17460504
hChikV/Sudan/PHE-53cf9118/2018	II-ECSA	EPI_ISL_17460505
hChikV/Sudan/PHE-4f141829/2018	II-ECSA	EPI_ISL_17460506
hChikV/Sudan/PHE-450e6942/2018	II-ECSA	EPI_ISL_17460507
hChikV/India/un-PHE-296ee3e5/2016	II-ECSA	EPI_ISL_17460508
hChikV/India/un-PHE-5aaaef21/2016	II-ECSA	EPI_ISL_17460509
hChikV/India/un-PHE-4f740b45/2016	II-ECSA	EPI_ISL_17460510
hChikV/India/un-PHE-33007a6b/2016	II-ECSA	EPI_ISL_17460511
hChikV/India/un-PHE-4201c942/2016	II-ECSA	EPI_ISL_17460512
hChikV/Sudan/PHE-d6f62667/2018	II-ECSA	EPI_ISL_17460513
hChikV/India/un-PHE-fc6b45f5/2016	II-ECSA	EPI_ISL_17460514
hChikV/India/un-PHE-06170bce/2016	II-ECSA	EPI_ISL_17460515
hChikV/Sudan/PHE-007eb87d/2018	II-ECSA	EPI_ISL_17460516
hChikV/Sudan/PHE-0e1a528e/2018	II-ECSA	EPI_ISL_17460517
hChikV/Sudan/PHE-ab5cd609/2018	II-ECSA	EPI_ISL_17460518
hChikV/Sudan/PHE-f015fd23/2018	II-ECSA	EPI_ISL_17460519
hChikV/Sudan/PHE-a461aca5/2018	II-ECSA	EPI_ISL_17460520
hChikV/Sudan/PHE-13d93653/2018	II-ECSA	EPI_ISL_17460521
hChikV/Sudan/PHE-b6adaf20/2018	II-ECSA	EPI_ISL_17460522
hChikV/India/un-PHE-8dd7847a/2016	II-ECSA	EPI_ISL_17460523
hChikV/Sudan/PHE-b1bea927/2018	II-ECSA	EPI_ISL_17460524
hChikV/Sudan/PHE-1c4a33df/2018	II-ECSA	EPI_ISL_17460526
hChikV/Sudan/PHE-9836814c/2018	II-ECSA	EPI_ISL_17460527
hChikV/Sudan/PHE-e5a7745e/2018	II-ECSA	EPI_ISL_17460528
hChikV/Sudan/PHE-47d3be10/2018	II-ECSA	EPI_ISL_17460529
hChikV/India/un-PHE-649e9883/2016	II-ECSA	EPI_ISL_17460530
hChikV/Sudan/PHE-c468af6c/2018	II-ECSA	EPI_ISL_17460531
hChikV/Sudan/PHE-85bf53c9/2018	II-ECSA	EPI_ISL_17460532
hChikV/Sudan/PHE-1d52f863/2018	II-ECSA	EPI_ISL_17460533
hChikV/Sudan/PHE-e2b21ed2/2018	II-ECSA	EPI_ISL_17460534
hChikV/Sudan/PHE-5cfb6021/2018	II-ECSA	EPI_ISL_17460535
hChikV/India/un-PHE-df2e39d2/2016	II-ECSA	EPI_ISL_17460536
hChikV/Sudan/PHE-8447cd4a/2018	II-ECSA	EPI_ISL_17460537
hChikV/Sudan/PHE-3c701406/2018	II-ECSA	EPI_ISL_17460538
hChikV/Sudan/PHE-d551cb67/2018	II-ECSA	EPI_ISL_17460539
hChikV/Sudan/PHE-518bd159/2018	II-ECSA	EPI_ISL_17460540
hChikV/Sudan/PHE-e87f1e03/2018	II-ECSA	EPI_ISL_17460541
hChikV/Sudan/PHE-cd9fcd9a/2018	II-ECSA	EPI_ISL_17460542
hChikV/Sudan/PHE-98aba236/2018	II-ECSA	EPI_ISL_17460543
hChikV/Sudan/PHE-48d2b3ca/2018	II-ECSA	EPI_ISL_17460544
hChikV/Sudan/PHE-7a9665b6/2018	II-ECSA	EPI_ISL_17460545
hChikV/Sudan/PHE-7ec8f32e/2018	II-ECSA	EPI_ISL_17460546
hChikV/Sudan/PHE-b542713a/2018	II-ECSA	EPI_ISL_17460547
hChikV/Sudan/PHE-e14874e5/2018	II-ECSA	EPI_ISL_17460548
hChikV/Sudan/PHE-cdebb4aa/2018	II-ECSA	EPI_ISL_17460549
hChikV/Sudan/PHE-ce6470db/2018	II-ECSA	EPI_ISL_17460550
hChikV/India/un-PHE-1ae5550b/2016	II-ECSA	EPI_ISL_17460551
hChikV/Sudan/PHE-b1cc0d13/2018	II-ECSA	EPI_ISL_17460553
hChikV/Sudan/PHE-f28a97e9/2018	II-ECSA	EPI_ISL_17460554
hChikV/Sudan/PHE-5bb59dd7/2018	II-ECSA	EPI_ISL_17460555
hChikV/Sudan/PHE-d523109d/2018	II-ECSA	EPI_ISL_17460556
hChikV/Sudan/PHE-6ebd47dc/2018	II-ECSA	EPI_ISL_17460557
hChikV/Sudan/PHE-c7c62e48/2018	II-ECSA	EPI_ISL_17460558
hChikV/Sudan/PHE-68751aa6/2018	II-ECSA	EPI_ISL_17460559
hChikV/Sudan/PHE-011e3e68/2018	II-ECSA	EPI_ISL_17460560
hChikV/Sudan/PHE-8e48a416/2018	II-ECSA	EPI_ISL_17460561
hChikV/Sudan/PHE-34cc5083/2018	II-ECSA	EPI_ISL_17460562
hChikV/Sudan/PHE-9280a3e9/2018	II-ECSA	EPI_ISL_17460563
hChikV/Sudan/PHE-76a452c7/2018	II-ECSA	EPI_ISL_17460564
hChikV/Sudan/PHE-b0346300/2018	II-ECSA	EPI_ISL_17460565
hChikV/Sudan/PHE-e6436961/2018	II-ECSA	EPI_ISL_17460566
hChikV/Sudan/PHE-fe8b16d7/2018	II-ECSA	EPI_ISL_17460567
hChikV/Sudan/PHE-e7927a60/2018	II-ECSA	EPI_ISL_17460568
hChikV/Sudan/PHE-3bdc0166/2018	II-ECSA	EPI_ISL_17460569
hChikV/Sudan/PHE-9514f724/2018	II-ECSA	EPI_ISL_17460570
hChikV/Sudan/PHE-1d8eb856/2018	II-ECSA	EPI_ISL_17460571
hChikV/Sudan/PHE-c97bc7bc/2018	II-ECSA	EPI_ISL_17460572
hChikV/Sudan/PHE-c8016ac9/2018	II-ECSA	EPI_ISL_17460573
hChikV/Sudan/PHE-9aa1e64e/2018	II-ECSA	EPI_ISL_17460574
hChikV/Sudan/PHE-2a3aa0ed/2018	II-ECSA	EPI_ISL_17460575
hChikV/Sudan/PHE-4ae375cf/2018	II-ECSA	EPI_ISL_17460576
hChikV/Sudan/PHE-71512ddc/2018	II-ECSA	EPI_ISL_17460577
hChikV/Sudan/PHE-f41707a1/2018	II-ECSA	EPI_ISL_17460578
hChikV/Sudan/PHE-7a6cb9b7/2018	II-ECSA	EPI_ISL_17460579
hChikV/Sudan/PHE-f524bb47/2018	II-ECSA	EPI_ISL_17460580
hChikV/Sudan/PHE-d5cc4d6a/2018	II-ECSA	EPI_ISL_17460581
hChikV/India/un-PHE-78d6eb38/2016	II-ECSA	EPI_ISL_17460582
hChikV/Sudan/PHE-8867bc6e/2018	II-ECSA	EPI_ISL_17460583
hChikV/Sudan/PHE-a930f861/2018	II-ECSA	EPI_ISL_17460584
hChikV/Sudan/PHE-20f453f5/2018	II-ECSA	EPI_ISL_17460585
hChikV/Sudan/PHE-c6294ec3/2018	II-ECSA	EPI_ISL_17460586
hChikV/Sudan/PHE-f029c482/2018	II-ECSA	EPI_ISL_17460587
hChikV/Sudan/PHE-b469ee8d/2018	II-ECSA	EPI_ISL_17460588
hChikV/Sudan/PHE-a45421a7/2018	II-ECSA	EPI_ISL_17460589
hChikV/Sudan/PHE-6abc597e/2018	II-ECSA	EPI_ISL_17460590
hChikV/Sudan/PHE-f9308608/2018	II-ECSA	EPI_ISL_17460591
hChikV/India/un-PHE-01d7fb46/2016	II-ECSA	EPI_ISL_17460592
hChikV/Australia/un-QHFSS-0a93573a/2016	II-ECSA	EPI_ISL_17460634
ChikV/un/Mauritius/QHFSS-4effe5c6/2006	II-ECSA	EPI_ISL_17460636
hChikV/Australia/QLD-QHFSS-9d7914e6/2019	II-ECSA	EPI_ISL_17460638
hChikV/Papua New Guinea/QHFSS-7d963809/2013	II-ECSA	EPI_ISL_17460642
hChikV/Malaysia/QHFSS-613ca984/2008	II-ECSA	EPI_ISL_17460647
ChikV/un/India/KL-RGCB-2938c87c/2009	II-ECSA	EPI_ISL_17460652
ChikV/un/India/KL-RGCB-0e40a8d2/2009	II-ECSA	EPI_ISL_17460654
ChikV/un/India/KL-RGCB-6a407c69/2009	II-ECSA	EPI_ISL_17460659
hChikV/Myanmar/SMU-0226f3b1/2009	II-ECSA	EPI_ISL_17460766
hChikV/Myanmar/SMU-00002/2009	II-ECSA	EPI_ISL_17460769
hChikV/China/SCDC-00001/2010	II-ECSA	EPI_ISL_17460804
hChikV/China/STPH-00001/2017	II-ECSA	EPI_ISL_17460806
hChikV/Singapore/TCDC-9d1cd667/2006	II-ECSA	EPI_ISL_17460903
hChikV/Bangladesh/TCDC-1ad3f5cf/2008	II-ECSA	EPI_ISL_17460906
hChikV/Malaysia/TCDC-f16d7307/2008	II-ECSA	EPI_ISL_17460908
hChikV/Hong Kong/CUHK-00002/2016	II-ECSA	EPI_ISL_17460922
hChikV/Hong Kong/CUHK-00001/2016	II-ECSA	EPI_ISL_17460923
hChikV/China/TJ-TCDC-fdac70f0/2019	II-ECSA	EPI_ISL_17460926
hChikV/Japan/TMIPH-00001_9aff1ae4/2016	II-ECSA	EPI_ISL_17460958
hChikV/India/un-THSTI-2_f4a867f4/2010	II-ECSA	EPI_ISL_17460959
hChikV/India/un-THSTI-1_7f3591fa/2010	II-ECSA	EPI_ISL_17460960
hChikV/India/un-THSTI-3_07eb3d72/2010	II-ECSA	EPI_ISL_17460961
hChikV/India/GJ-THSTI-06_fdbd5491/2006	II-ECSA	EPI_ISL_17460962
hChikV/India/un-THSTI-4_67e35507/2010	II-ECSA	EPI_ISL_17460963
hChikV/India/un-THSTI-5_3590d4fb/2010	II-ECSA	EPI_ISL_17460964
hChikV/India/un-THSTI-1_44c1c4d5/2010	II-ECSA	EPI_ISL_17460965
ChikV/mosquito/Yemen/NAMRU3-59fe4e28/2011	II-ECSA	EPI_ISL_17460969
hChikV/Thailand/AFRIMS-0000029/2018	II-ECSA	EPI_ISL_17460984
hChikV/Thailand/AFRIMS-0000023/2019	II-ECSA	EPI_ISL_17460986
hChikV/Thailand/AFRIMS-0000024/2019	II-ECSA	EPI_ISL_17460987
hChikV/Thailand/AFRIMS-0000025/2019	II-ECSA	EPI_ISL_17460988
hChikV/Thailand/AFRIMS-0000026/2012	II-ECSA	EPI_ISL_17460989
hChikV/Thailand/AFRIMS-0000027/2018	II-ECSA	EPI_ISL_17460990
hChikV/Thailand/AFRIMS-0000028/2012	II-ECSA	EPI_ISL_17460991
hChikV/Thailand/AFRIMS-0000032/2019	II-ECSA	EPI_ISL_17460994
hChikV/Thailand/AFRIMS-0000033/2019	II-ECSA	EPI_ISL_17460995
hChikV/Thailand/AFRIMS-0000034/2019	II-ECSA	EPI_ISL_17460996
hChikV/Thailand/AFRIMS-0000035/2019	II-ECSA	EPI_ISL_17460997
hChikV/Thailand/AFRIMS-0000036/2018	II-ECSA	EPI_ISL_17460998
hChikV/Thailand/AFRIMS-0000022/2019	II-ECSA	EPI_ISL_17460999
hChikV/Thailand/AFRIMS-0000038/2018	II-ECSA	EPI_ISL_17461000
hChikV/Thailand/AFRIMS-0000030/2018	II-ECSA	EPI_ISL_17461002
hChikV/Thailand/AFRIMS-0000021/2018	II-ECSA	EPI_ISL_17461003
hChikV/Thailand/AFRIMS-0000019/2019	II-ECSA	EPI_ISL_17461005
hChikV/Thailand/AFRIMS-0000010/2019	II-ECSA	EPI_ISL_17461007
hChikV/Thailand/AFRIMS-0000020/2018	II-ECSA	EPI_ISL_17461014
hChikV/Thailand/AFRIMS-0000012/2019	II-ECSA	EPI_ISL_17461022
hChikV/Thailand/AFRIMS-0000011/2018	II-ECSA	EPI_ISL_17461023
hChikV/Thailand/AFRIMS-0000014/2019	II-ECSA	EPI_ISL_17461024
hChikV/Thailand/AFRIMS-0000018/2018	II-ECSA	EPI_ISL_17461030
hChikV/Thailand/AFRIMS-0000013/2018	II-ECSA	EPI_ISL_17461031
hChikV/Thailand/AFRIMS-0000017/2018	II-ECSA	EPI_ISL_17461035
hChikV/Thailand/AFRIMS-0000016/2019	II-ECSA	EPI_ISL_17461036
hChikV/Thailand/AFRIMS-0000015/2019	II-ECSA	EPI_ISL_17461037
hChikV/USA/un-FDA-00001/2006	II-ECSA	EPI_ISL_17461042
ChikV/mosquito/Comoros/FDA-0000002/2005	II-ECSA	EPI_ISL_17461043
hChikV/Sri Lanka/FDA-SL15649/2006	II-ECSA	EPI_ISL_17461046
hChikV/Brazil/un-UFMT-06469513/2019	II-ECSA	EPI_ISL_17461215
hChikV/Brazil/un-USP-1e985217/2019	II-ECSA	EPI_ISL_17461225
hChikV/Brazil/un-USP-27e508ee/2019	II-ECSA	EPI_ISL_17461228
hChikV/Brazil/un-USP-a3923c64/2019	II-ECSA	EPI_ISL_17461230
hChikV/Brazil/un-USP-e9990620/2019	II-ECSA	EPI_ISL_17461231
hChikV/Brazil/un-USP-70904573/2019	II-ECSA	EPI_ISL_17461233
hChikV/Brazil/un-USP-2cb92cf2/2019	II-ECSA	EPI_ISL_17461235
ChikV/mosquito/Brazil/SE-USP-5e5ac303/2016	II-ECSA	EPI_ISL_17461237
hChikV/Brazil/un-USP-c2e8171c/2019	II-ECSA	EPI_ISL_17461238
hChikV/Malaysia/UM-08_33430e01/2008	II-ECSA	EPI_ISL_17461260
hChikV/Malaysia/UM-08_2f778d86/2008	II-ECSA	EPI_ISL_17461262
hChikV/Malaysia/UM-09_467a60be/2009	II-ECSA	EPI_ISL_17461264
hChikV/Malaysia/UM-08_3ddee034/2008	II-ECSA	EPI_ISL_17461268
hChikV/Malaysia/UM-08_1d0f3db2/2008	II-ECSA	EPI_ISL_17461271
hChikV/Malaysia/UM-09_05209e11/2009	II-ECSA	EPI_ISL_17461272
hChikV/Malaysia/UM-08_38e019b0/2008	II-ECSA	EPI_ISL_17461273
hChikV/Malaysia/UM-09_1c529714/2009	II-ECSA	EPI_ISL_17461274
hChikV/Malaysia/UM-09_d5edce57/2009	II-ECSA	EPI_ISL_17461275
hChikV/Malaysia/UM-09_63d7db33/2009	II-ECSA	EPI_ISL_17461276
hChikV/Malaysia/UM-08_2844385d/2008	II-ECSA	EPI_ISL_17461280
hChikV/Germany/un-JMU-53f1fb1f/2006	II-ECSA	EPI_ISL_17461283
hChikV/Mauritius/UKB-4e6a00d0/2006	II-ECSA	EPI_ISL_17461287
hChikV/Mauritius/UOB-c7582fee/2006	II-ECSA	EPI_ISL_17461289
hChikV/Mauritius/UOB-20a11f7f/2006	II-ECSA	EPI_ISL_17461290
hChikV/Seychelles/UOB-6b8c5452/2006	II-ECSA	EPI_ISL_17461291
hChikV/Mauritius/UOB-4ceba552/2006	II-ECSA	EPI_ISL_17461293
hChikV/Mauritius/UOB-3eeb956d/2006	II-ECSA	EPI_ISL_17461294
hChikV/Reunion/UOB-BNI967_a3bbabaf/2006	II-ECSA	EPI_ISL_17461295
hChikV/Mauritius/UOB-7f14e893/2006	II-ECSA	EPI_ISL_17461296
hChikV/Mauritius/UOB-3a3cf998/2006	II-ECSA	EPI_ISL_17461297
hChikV/Seychelles/UOB-9b77f367/2006	II-ECSA	EPI_ISL_17461298
hChikV/Seychelles/UOB-dec7d7fc/2006	II-ECSA	EPI_ISL_17461299
hChikV/Brazil/MT-UnB-37ac7504/2017	II-ECSA	EPI_ISL_17461302
hChikV/Brazil/MT-UnB-576b84e8/2017	II-ECSA	EPI_ISL_17461305
hChikV/Brazil/MT-UnB-eb3559b4/2017	II-ECSA	EPI_ISL_17461306
hChikV/Brazil/un-UCSF-dfbc10eb/2015	II-ECSA	EPI_ISL_17461309
hChikV/Brazil/un-UCSF-9f5e20eb/2015	II-ECSA	EPI_ISL_17461311
hChikV/Bangladesh/UCSF-e0fe65d0/2017	II-ECSA	EPI_ISL_17461312
hChikV/Bangladesh/UCSF-137b6d94/2017	II-ECSA	EPI_ISL_17461314
hChikV/Bangladesh/UCSF-305942fa/2017	II-ECSA	EPI_ISL_17461315
hChikV/Bangladesh/UCSF-f078ef31/2017	II-ECSA	EPI_ISL_17461316
hChikV/Bangladesh/UCSF-2a02d430/2017	II-ECSA	EPI_ISL_17461317
hChikV/Bangladesh/UCSF-50a41ed0/2017	II-ECSA	EPI_ISL_17461318
hChikV/Bangladesh/UCSF-f829113c/2017	II-ECSA	EPI_ISL_17461319
hChikV/Bangladesh/UCSF-3c72eb6b/2017	II-ECSA	EPI_ISL_17461321
hChikV/Bangladesh/UCSF-c727ac40/2017	II-ECSA	EPI_ISL_17461322
hChikV/Bangladesh/UCSF-0b3eac36/2017	II-ECSA	EPI_ISL_17461325
hChikV/Bangladesh/UCSF-85048dd3/2017	II-ECSA	EPI_ISL_17461326
hChikV/Bangladesh/UCSF-d8819acb/2017	II-ECSA	EPI_ISL_17461327
hChikV/Bangladesh/UCSF-263e4e1b/2017	II-ECSA	EPI_ISL_17461328
hChikV/Bangladesh/UCSF-ee3cb090/2017	II-ECSA	EPI_ISL_17461329
hChikV/Bangladesh/UCSF-25e1f6ea/2017	II-ECSA	EPI_ISL_17461330
hChikV/Bangladesh/UCSF-bdc23494/2017	II-ECSA	EPI_ISL_17461331
hChikV/Sri Lanka/UCD-5594b24a/2006	II-ECSA	EPI_ISL_17461333
hChikV/Finland/HUSLAB-212_2cc9f114/2019	II-ECSA	EPI_ISL_17461337
hChikV/Finland/HUSLAB-197_92a99604/2019	II-ECSA	EPI_ISL_17461338
hChikV/Cameroon/UNMC-1e053e87/2018	II-ECSA	EPI_ISL_17461368
hChikV/Cameroon/UNMC-e8c24c33/2016	II-ECSA	EPI_ISL_17461369
hChikV/Cameroon/UNMC-979aac59/2018	II-ECSA	EPI_ISL_17461370
hChikV/Brazil/un-USP-248aba1e/2017	II-ECSA	EPI_ISL_17461418
hChikV/Brazil/un-USP-d4a1c006/2017	II-ECSA	EPI_ISL_17461421
hChikV/Bangladesh/UTMB-a61ce6cf/2011	II-ECSA	EPI_ISL_17461467
hChikV/Uganda/UTMB-162eec74/1982	II-ECSA	EPI_ISL_17461469
ChikV/mosquito/South Africa/UTMB-6c8d787b/1976	II-ECSA	EPI_ISL_17461478
ChikV/mosquito/Thailand/UTMB-b89d08c9/2009	II-ECSA	EPI_ISL_17461484
hChikV/South Africa/UTMB-5f27c271/1976	II-ECSA	EPI_ISL_17461485
ChikV/mosquito/Thailand/UTMB-4d7e1b23/2008	II-ECSA	EPI_ISL_17461486
hChikV/Tanzania/UTMB-9143f50d/1953	II-ECSA	EPI_ISL_17461495
ChikV/un/Thailand/UTMB-00046/2008	II-ECSA	EPI_ISL_17461508
ChikV/mosquito/Thailand/UTMB-ef5e9893/2008	II-ECSA	EPI_ISL_17461515
hChikV/Bangladesh/UTMB-8215f993/2011	II-ECSA	EPI_ISL_17461522
ChikV/mosquito/Thailand/UTMB-5848a555/2009	II-ECSA	EPI_ISL_17461541
ChikV/mosquito/Thailand/UTMB-cc6cbde1/2009	II-ECSA	EPI_ISL_17461542
hChikV/France/UM-00001/2006	II-ECSA	EPI_ISL_17461548
hChikV/Kenya/WRAIR-070/2016	II-ECSA	EPI_ISL_17461693
hChikV/Kenya/WRAIR-057/2016	II-ECSA	EPI_ISL_17461695
hChikV/Kenya/WRAIR-031/2016	II-ECSA	EPI_ISL_17461697
hChikV/Kenya/WRAIR-027/2016	II-ECSA	EPI_ISL_17461700
hChikV/Kenya/WRAIR-058/2016	II-ECSA	EPI_ISL_17461703
hChikV/Kenya/WRAIR-032/2016	II-ECSA	EPI_ISL_17461709
hChikV/Kenya/WRAIR-069/2016	II-ECSA	EPI_ISL_17461710
hChikV/Kenya/WRAIR-082/2016	II-ECSA	EPI_ISL_17461711
hChikV/Kenya/WRAIR-028/2016	II-ECSA	EPI_ISL_17461713
hChikV/Kenya/WRAIR-100/2016	II-ECSA	EPI_ISL_17461715
hChikV/Kenya/WRAIR-087/2016	II-ECSA	EPI_ISL_17461716
hChikV/Kenya/WRAIR-086/2016	II-ECSA	EPI_ISL_17461717
hChikV/Kenya/WRAIR-063/2016	II-ECSA	EPI_ISL_17461718
hChikV/Kenya/WRAIR-106/2016	II-ECSA	EPI_ISL_17461720
hChikV/Kenya/WRAIR-068/2016	II-ECSA	EPI_ISL_17461732
hChikV/Pakistan/WIV-05/2016	II-ECSA	EPI_ISL_17461733
hChikV/Pakistan/WIV-04/2016	II-ECSA	EPI_ISL_17461734
hChikV/Pakistan/WIV-06/2016	II-ECSA	EPI_ISL_17461735
hChikV/Pakistan/WIV-01/2016	II-ECSA	EPI_ISL_17461736
hChikV/Pakistan/WIV-10/2016	II-ECSA	EPI_ISL_17461737
hChikV/Pakistan/WIV-07/2016	II-ECSA	EPI_ISL_17461738
hChikV/Pakistan/WIV-09/2016	II-ECSA	EPI_ISL_17461739
hChikV/China/ZJ-ZCDC-b013dfb0/2019	II-ECSA	EPI_ISL_17461741
hChikV/China/ZCDC-ZJQZ3/2017	II-ECSA	EPI_ISL_17461742
hChikV/Tanzania/ITM-S27/1952	II-ECSA	EPI_ISL_17462250
hChikV/Brazil/un-UTMB-P60/2022	II-ECSA	EPI_ISL_17673050
hChikV/Brazil/un-UTMB-P13/2022	II-ECSA	EPI_ISL_17673087
hChikV/Argentina/RGCH-483b2fcd/2016	II-ECSA	EPI_ISL_17673108
hChikV/Brazil/RJ-UFRJ-161/2018	II-ECSA	EPI_ISL_17673113
hChikV/Brazil/RJ-UFRJ-159/2018	II-ECSA	EPI_ISL_17673114
hChikV/Brazil/RJ-UFRJ-157/2018	II-ECSA	EPI_ISL_17673115
hChikV/Brazil/RJ-UFRJ-155/2018	II-ECSA	EPI_ISL_17673116
hChikV/Brazil/RJ-UFRJ-152/2018	II-ECSA	EPI_ISL_17673117
hChikV/Brazil/RJ-UFRJ-117/2018	II-ECSA	EPI_ISL_17673125
hChikV/Brazil/RJ-UFRJ-174/2018	II-ECSA	EPI_ISL_17673133
hChikV/Brazil/RJ-UFRJ-107/2018	II-ECSA	EPI_ISL_17673138
hChikV/Brazil/RJ-UFRJ-110/2018	II-ECSA	EPI_ISL_17673139
hChikV/Congo/UM-00001/2011	II-ECSA	EPI_ISL_17673143
hChikV/Brazil/SP-IAL-801/2023	II-ECSA	EPI_ISL_17700291
hChikV/Brazil/TO-USP-0003/2017	II-ECSA	EPI_ISL_17722447
hChikV/Brazil/TO-USP-0129/2017	II-ECSA	EPI_ISL_17722452
hChikV/Brazil/TO-USP-0737/2017	II-ECSA	EPI_ISL_17722457
hChikV/Brazil/TO-USP-0194/2017	II-ECSA	EPI_ISL_17722458
hChikV/Brazil/TO-USP-0733/2017	II-ECSA	EPI_ISL_17722467
hChikV/Brazil/TO-IAL-58_61/2023	II-ECSA	EPI_ISL_17765201
hChikV/Brazil/SE-IAL-1096/2023	II-ECSA	EPI_ISL_17765217
ChikV/mosquito/India/MH-NIV-5F/2022	II-ECSA	EPI_ISL_17809532
ChikV/mosquito/India/MH-NIV-M6/2022	II-ECSA	EPI_ISL_17809533
ChikV/mosquito/India/MH-NIV-TC/2022	II-ECSA	EPI_ISL_17809534
ChikV/mosquito/India/MH-NIV-M1/2022	II-ECSA	EPI_ISL_17809535
ChikV/mosquito/India/MH-NIV-M4/2022	II-ECSA	EPI_ISL_17809538
hChikV/Brazil/MA-un-BC73/2022	II-ECSA	EPI_ISL_17953950
hChikV/Brazil/GO-un-GO069/2021	II-ECSA	EPI_ISL_17953965
hChikV/Brazil/GO-un-GO075/2021	II-ECSA	EPI_ISL_17953967
hChikV/Brazil/GO-un-GO094/2021	II-ECSA	EPI_ISL_17953971
hChikV/Brazil/GO-un-GO093/2021	II-ECSA	EPI_ISL_17953980
hChikV/Brazil/GO-un-GO062/2021	II-ECSA	EPI_ISL_17953984
hChikV/Brazil/GO-un-GO089/2021	II-ECSA	EPI_ISL_17953994
hChikV/Brazil/GO-un-GO073/2021	II-ECSA	EPI_ISL_17954004
hChikV/Brazil/BA-un-FS0116/2015	II-ECSA	EPI_ISL_17954005
hChikV/Brazil/BA-un-FS0106/2015	II-ECSA	EPI_ISL_17954019
hChikV/Brazil/BA-un-FS0030/2015	II-ECSA	EPI_ISL_17954022
hChikV/Brazil/BA-un-BC22/2022	II-ECSA	EPI_ISL_17954027
hChikV/Brazil/BA-un-NB15/2021	II-ECSA	EPI_ISL_17954030
hChikV/Brazil/BA-un-FS0048/2015	II-ECSA	EPI_ISL_17954035
hChikV/Brazil/BA-un-FS0014A/2015	II-ECSA	EPI_ISL_17954036
hChikV/Brazil/BA-un-FS0089/2015	II-ECSA	EPI_ISL_17954037
hChikV/Brazil/BA-un-NB16/2021	II-ECSA	EPI_ISL_17954041
hChikV/Brazil/BA-un-FS0047/2015	II-ECSA	EPI_ISL_17954045
hChikV/Brazil/BA-un-FS0035/2015	II-ECSA	EPI_ISL_17954046
hChikV/Brazil/BA-un-NB36/2021	II-ECSA	EPI_ISL_17954050
hChikV/Brazil/BA-un-FS0132/2015	II-ECSA	EPI_ISL_17954067
hChikV/Brazil/BA-un-BC39/2022	II-ECSA	EPI_ISL_17954069
hChikV/Brazil/BA-un-BC10/2022	II-ECSA	EPI_ISL_17954077
hChikV/Brazil/BA-un-DFS1837/2019	II-ECSA	EPI_ISL_17954078
hChikV/Brazil/BA-un-FS0055/2015	II-ECSA	EPI_ISL_17954079
hChikV/Brazil/BA-un-FS0129/2015	II-ECSA	EPI_ISL_17954081
hChikV/Brazil/BA-un-FS0124/2015	II-ECSA	EPI_ISL_17954086
hChikV/Brazil/BA-un-DFS1808/2019	II-ECSA	EPI_ISL_17954089
hChikV/Brazil/BA-un-FS0066/2015	II-ECSA	EPI_ISL_17954190
hChikV/Brazil/BA-un-NB03/2019	II-ECSA	EPI_ISL_17954192
hChikV/Brazil/BA-un-FS0032/2015	II-ECSA	EPI_ISL_17954193
hChikV/Brazil/AL-un-ARB02/2021	II-ECSA	EPI_ISL_17954198
hChikV/Brazil/SE-un-NB63/2021	II-ECSA	EPI_ISL_17954205
hChikV/Brazil/SE-un-NB47/2021	II-ECSA	EPI_ISL_17954213
hChikV/Brazil/SE-un-NB48/2021	II-ECSA	EPI_ISL_17954217
hChikV/Brazil/RN-un-822/2022	II-ECSA	EPI_ISL_17954273
hChikV/Brazil/RN-un-1125/2022	II-ECSA	EPI_ISL_17954290
hChikV/Brazil/PI-un-NB68/2022	II-ECSA	EPI_ISL_17954320
hChikV/Brazil/PI-un-NB39/2022	II-ECSA	EPI_ISL_17954328
